model,gqa,num_layers,kv_heads,head_dim,batch,seq_len,tokens,bits,method,store_budget,fp16_kv_GB,base_kv_GB,residual_GB,metadata_GB,total_kv_GB,memory_saving_ratio,residual_frac_of_total,reaches_GB_scale
TinyLlama-1.1B,True,22,4,64,1,512,512,3,BaseQuant_INT3,-,0.010742,0.002014,0.0,0.000168,0.002182,0.2031,0.0,False
TinyLlama-1.1B,True,22,4,64,1,512,512,3,CAREKV_INT3,SK1SV2RK1RV1,0.010742,0.002182,0.000142,0.000234,0.002558,0.2381,0.0556,False
TinyLlama-1.1B,True,22,4,64,1,512,512,3,CAREKV_INT3,SK2SV4RK2RV2,0.010742,0.002182,0.000285,0.0003,0.002766,0.2575,0.1028,False
TinyLlama-1.1B,True,22,4,64,1,512,512,3,CAREKV_INT3,SK4SV4RK2RV2,0.010742,0.002182,0.000379,0.000344,0.002905,0.2704,0.1306,False
TinyLlama-1.1B,True,22,4,64,1,1024,1024,3,BaseQuant_INT3,-,0.021484,0.004028,0.0,0.000336,0.004364,0.2031,0.0,False
TinyLlama-1.1B,True,22,4,64,1,1024,1024,3,CAREKV_INT3,SK1SV2RK1RV1,0.021484,0.004364,0.000285,0.000468,0.005116,0.2381,0.0556,False
TinyLlama-1.1B,True,22,4,64,1,1024,1024,3,CAREKV_INT3,SK2SV4RK2RV2,0.021484,0.004364,0.000569,0.0006,0.005533,0.2575,0.1028,False
TinyLlama-1.1B,True,22,4,64,1,1024,1024,3,CAREKV_INT3,SK4SV4RK2RV2,0.021484,0.004364,0.000759,0.000687,0.00581,0.2704,0.1306,False
TinyLlama-1.1B,True,22,4,64,1,2048,2048,3,BaseQuant_INT3,-,0.042969,0.008057,0.0,0.000671,0.008728,0.2031,0.0,False
TinyLlama-1.1B,True,22,4,64,1,2048,2048,3,CAREKV_INT3,SK1SV2RK1RV1,0.042969,0.008728,0.000569,0.000935,0.010232,0.2381,0.0556,False
TinyLlama-1.1B,True,22,4,64,1,2048,2048,3,CAREKV_INT3,SK2SV4RK2RV2,0.042969,0.008728,0.001138,0.001199,0.011065,0.2575,0.1028,False
TinyLlama-1.1B,True,22,4,64,1,2048,2048,3,CAREKV_INT3,SK4SV4RK2RV2,0.042969,0.008728,0.001517,0.001375,0.01162,0.2704,0.1306,False
TinyLlama-1.1B,True,22,4,64,1,4096,4096,3,BaseQuant_INT3,-,0.085938,0.016113,0.0,0.001343,0.017456,0.2031,0.0,False
