model,seq_len,num_samples,B_ppl,C_ppl,delta,delta_pct,C_k_reads,C_v_reads,B_k_reads,B_v_reads,B_runtime_s,C_runtime_s
JackFram/llama-160m,512,32,27.4139,26.2726,-1.1413,-4.163,4102526,5334658,0,0,280.0,763.5
01-ai/Yi-6B,512,32,7.3538,7.2902,-0.0636,-0.865,30380503,36728361,0,0,333.4,828.4
openlm-research/open_llama_3b_v2,512,32,0.0,0.0,,,0,0,0,0,0.0,0.0
deepseek-ai/deepseek-llm-7b-base,512,32,8.5823,8.4935,-0.0888,-1.035,27462234,35452326,0,0,2236.1,15499.8
openlm-research/open_llama_7b_v2,512,32,8.1804,8.1316,-0.0488,-0.597,30138830,36970034,0,0,2395.4,17357.7
upstage/SOLAR-10.7B-v1.0,512,32,6.1503,6.1038,-0.0465,-0.756,45556168,55107128,0,0,889.0,3145.6
01-ai/Yi-34B,512,32,nan,nan,nan,nan,98864715,118805941,0,0,1361.6,4771.0
NousResearch/Llama-2-13b-hf,512,32,6.2477,6.18,-0.0677,-1.084,48798971,56058629,0,0,3708.0,39214.4
01-ai/Yi-34B,512,32,nan,nan,nan,nan,98213984,118833056,0,0,1341.6,4668.0
01-ai/Yi-34B,512,32,nan,0.0,,,0,0,0,0,1976.2,0.0
