model_id,mode,task,metric,value,n,seconds,k_reads,v_reads,status,notes
deepseek-ai/deepseek-llm-7b-base,fp16,mmlu,acc,0.43,100,3.9,0,0,real,
deepseek-ai/deepseek-llm-7b-base,fp16,arc,acc,0.47,100,11.4,0,0,real,
deepseek-ai/deepseek-llm-7b-base,fp16,arc,acc_norm,0.47,100,11.4,0,0,real,
deepseek-ai/deepseek-llm-7b-base,fp16,lambada,acc,0.83,100,3.3,0,0,real,
deepseek-ai/deepseek-llm-7b-base,base_quant_int3,mmlu,acc,0.36,100,3372.9,0,0,real,
deepseek-ai/deepseek-llm-7b-base,base_quant_int3,arc,acc,0.39,100,4871.1,0,0,real,
deepseek-ai/deepseek-llm-7b-base,base_quant_int3,arc,acc_norm,0.4,100,4871.1,0,0,real,
deepseek-ai/deepseek-llm-7b-base,base_quant_int3,lambada,acc,0.77,100,2440.8,0,0,real,
deepseek-ai/deepseek-llm-7b-base,turboquant_int3,mmlu,acc,0.39,100,5.1,0,0,real,
deepseek-ai/deepseek-llm-7b-base,turboquant_int3,arc,acc,0.42,100,17.2,0,0,real,
deepseek-ai/deepseek-llm-7b-base,turboquant_int3,arc,acc_norm,0.48,100,17.2,0,0,real,
deepseek-ai/deepseek-llm-7b-base,turboquant_int3,lambada,acc,0.8,100,5.3,0,0,real,
deepseek-ai/deepseek-llm-7b-base,carekv_stored_int3,mmlu,acc,0.41,100,4693.4,17993419,23724341,real,
deepseek-ai/deepseek-llm-7b-base,carekv_stored_int3,arc,acc,0.49,100,7831.8,47588742,54351738,real,
deepseek-ai/deepseek-llm-7b-base,carekv_stored_int3,arc,acc_norm,0.48,100,7831.8,47588742,54351738,real,
deepseek-ai/deepseek-llm-7b-base,carekv_stored_int3,lambada,acc,0.79,100,4610.4,62356587,71548053,real,
