model_id,mode,task,metric,value,n,seconds,k_reads,v_reads,status,notes
deepseek-ai/deepseek-llm-7b-base,fp16,mmlu,acc,0.4233,300,10.2,0,0,real,
deepseek-ai/deepseek-llm-7b-base,fp16,arc,acc,0.4467,300,30.3,0,0,real,
deepseek-ai/deepseek-llm-7b-base,fp16,arc,acc_norm,0.4567,300,30.3,0,0,real,
deepseek-ai/deepseek-llm-7b-base,fp16,lambada,acc,0.81,300,8.6,0,0,real,
deepseek-ai/deepseek-llm-7b-base,base_quant_int3,mmlu,acc,0.3567,300,7425.8,0,0,real,
deepseek-ai/deepseek-llm-7b-base,base_quant_int3,arc,acc,0.3967,300,11699.9,0,0,real,
deepseek-ai/deepseek-llm-7b-base,base_quant_int3,arc,acc_norm,0.39,300,11699.9,0,0,real,
deepseek-ai/deepseek-llm-7b-base,base_quant_int3,lambada,acc,0.7733,300,6954.5,0,0,real,
deepseek-ai/deepseek-llm-7b-base,turboquant_int3,mmlu,acc,0.39,300,14.7,0,0,real,
deepseek-ai/deepseek-llm-7b-base,turboquant_int3,arc,acc,0.4267,300,49.6,0,0,real,
deepseek-ai/deepseek-llm-7b-base,turboquant_int3,arc,acc_norm,0.4433,300,49.6,0,0,real,
deepseek-ai/deepseek-llm-7b-base,turboquant_int3,lambada,acc,0.8067,300,15.2,0,0,real,
deepseek-ai/deepseek-llm-7b-base,carekv_stored_int3,mmlu,acc,0.4233,300,13794.6,55926526,74211074,real,
deepseek-ai/deepseek-llm-7b-base,carekv_stored_int3,arc,acc,0.4567,300,22508.3,145903481,167766919,real,
deepseek-ai/deepseek-llm-7b-base,carekv_stored_int3,arc,acc_norm,0.45,300,22508.3,145903481,167766919,real,
