model_id,mode,task,metric,value,n,seconds,k_reads,v_reads,status,notes
mistralai/Mistral-7B-v0.3,fp16,mmlu,acc,0.56,100,3.8,0,0,real,
mistralai/Mistral-7B-v0.3,fp16,arc,acc,0.53,100,11.1,0,0,real,
mistralai/Mistral-7B-v0.3,fp16,arc,acc_norm,0.55,100,11.1,0,0,real,
mistralai/Mistral-7B-v0.3,fp16,lambada,acc,0.85,100,3.2,0,0,real,
mistralai/Mistral-7B-v0.3,base_quant_int3,mmlu,acc,0.56,100,710.5,0,0,real,
mistralai/Mistral-7B-v0.3,base_quant_int3,arc,acc,0.51,100,1164.4,0,0,real,
mistralai/Mistral-7B-v0.3,base_quant_int3,arc,acc_norm,0.53,100,1164.4,0,0,real,
mistralai/Mistral-7B-v0.3,base_quant_int3,lambada,acc,0.81,100,651.3,0,0,real,
mistralai/Mistral-7B-v0.3,turboquant_int3,mmlu,acc,0.51,100,5.6,0,0,real,
mistralai/Mistral-7B-v0.3,turboquant_int3,arc,acc,0.52,100,19.7,0,0,real,
mistralai/Mistral-7B-v0.3,turboquant_int3,arc,acc_norm,0.48,100,19.7,0,0,real,
mistralai/Mistral-7B-v0.3,turboquant_int3,lambada,acc,0.85,100,6.2,0,0,real,
mistralai/Mistral-7B-v0.3,carekv_stored_int3,mmlu,acc,0.52,100,1223.4,20971571,26755021,real,
mistralai/Mistral-7B-v0.3,carekv_stored_int3,arc,acc,0.51,100,2553.5,58718308,59381660,real,
mistralai/Mistral-7B-v0.3,carekv_stored_int3,arc,acc_norm,0.54,100,2553.5,58718308,59381660,real,
mistralai/Mistral-7B-v0.3,carekv_stored_int3,lambada,acc,0.86,100,1320.5,76068657,77408463,real,
