model_id,mode,task,metric,value,n,seconds,k_reads,v_reads,status,notes
mistralai/Mistral-7B-v0.3,fp16,mmlu,acc,0.5633,300,11.1,0,0,real,
mistralai/Mistral-7B-v0.3,fp16,arc,acc,0.5333,300,33.4,0,0,real,
mistralai/Mistral-7B-v0.3,fp16,arc,acc_norm,0.5467,300,33.4,0,0,real,
mistralai/Mistral-7B-v0.3,fp16,lambada,acc,0.8767,300,10.0,0,0,real,
mistralai/Mistral-7B-v0.3,base_quant_int3,mmlu,acc,0.55,300,2170.4,0,0,real,
mistralai/Mistral-7B-v0.3,base_quant_int3,arc,acc,0.5,300,3473.7,0,0,real,
mistralai/Mistral-7B-v0.3,base_quant_int3,arc,acc_norm,0.5267,300,3473.7,0,0,real,
mistralai/Mistral-7B-v0.3,base_quant_int3,lambada,acc,0.86,300,1920.9,0,0,real,
mistralai/Mistral-7B-v0.3,turboquant_int3,mmlu,acc,0.52,300,16.1,0,0,real,
mistralai/Mistral-7B-v0.3,turboquant_int3,arc,acc,0.5133,300,57.4,0,0,real,
mistralai/Mistral-7B-v0.3,turboquant_int3,arc,acc_norm,0.5167,300,57.4,0,0,real,
mistralai/Mistral-7B-v0.3,turboquant_int3,lambada,acc,0.88,300,17.8,0,0,real,
mistralai/Mistral-7B-v0.3,carekv_stored_int3,mmlu,acc,0.5333,300,3724.5,65289123,83960925,real,
mistralai/Mistral-7B-v0.3,carekv_stored_int3,arc,acc,0.5133,300,6157.1,180318655,183942721,real,
mistralai/Mistral-7B-v0.3,carekv_stored_int3,arc,acc_norm,0.53,300,6157.1,180318655,183942721,real,
mistralai/Mistral-7B-v0.3,carekv_stored_int3,lambada,acc,0.8833,300,3396.4,232263041,238236287,real,
