model_id,mode,task,metric,value,n,seconds,k_reads,v_reads,status,notes
upstage/SOLAR-10.7B-v1.0,fp16,mmlu,acc,0.5767,300,16.7,0,0,real,
upstage/SOLAR-10.7B-v1.0,fp16,arc,acc,0.5433,300,49.6,0,0,real,
upstage/SOLAR-10.7B-v1.0,fp16,arc,acc_norm,0.4967,300,49.6,0,0,real,
upstage/SOLAR-10.7B-v1.0,fp16,lambada,acc,0.89,300,14.2,0,0,real,
upstage/SOLAR-10.7B-v1.0,base_quant_int3,mmlu,acc,0.5367,300,3224.6,0,0,real,
upstage/SOLAR-10.7B-v1.0,base_quant_int3,arc,acc,0.48,300,5226.0,0,0,real,
upstage/SOLAR-10.7B-v1.0,base_quant_int3,arc,acc_norm,0.4533,300,5226.0,0,0,real,
upstage/SOLAR-10.7B-v1.0,base_quant_int3,lambada,acc,0.87,300,2833.9,0,0,real,
upstage/SOLAR-10.7B-v1.0,turboquant_int3,mmlu,acc,0.5633,300,24.2,0,0,real,
upstage/SOLAR-10.7B-v1.0,turboquant_int3,arc,acc,0.5033,300,85.1,0,0,real,
upstage/SOLAR-10.7B-v1.0,turboquant_int3,arc,acc_norm,0.47,300,85.1,0,0,real,
upstage/SOLAR-10.7B-v1.0,turboquant_int3,lambada,acc,0.8767,300,26.8,0,0,real,
upstage/SOLAR-10.7B-v1.0,carekv_stored_int3,mmlu,acc,0.57,300,5639.7,119235611,104639461,real,
upstage/SOLAR-10.7B-v1.0,carekv_stored_int3,arc,acc,0.5267,300,9452.1,306634794,246792150,real,
upstage/SOLAR-10.7B-v1.0,carekv_stored_int3,arc,acc_norm,0.4867,300,9452.1,306634794,246792150,real,
upstage/SOLAR-10.7B-v1.0,carekv_stored_int3,lambada,acc,0.8867,300,5121.0,393757794,319026078,real,
