model_id,mode,task,metric,value,n,seconds,k_reads,v_reads,status,notes
01-ai/Yi-6B,fp16,mmlu,acc,0.54,300,18.4,0,0,real,
01-ai/Yi-6B,fp16,arc,acc,0.5,300,60.5,0,0,real,
01-ai/Yi-6B,fp16,arc,acc_norm,0.5367,300,60.5,0,0,real,
01-ai/Yi-6B,fp16,lambada,acc,0.81,300,16.5,0,0,real,
01-ai/Yi-6B,base_quant_int3,mmlu,acc,0.53,300,4346.1,0,0,real,
01-ai/Yi-6B,base_quant_int3,arc,acc,0.4467,300,5002.5,0,0,real,
01-ai/Yi-6B,base_quant_int3,arc,acc_norm,0.4733,300,5002.5,0,0,real,
01-ai/Yi-6B,base_quant_int3,lambada,acc,0.75,300,2645.0,0,0,real,
01-ai/Yi-6B,turboquant_int3,mmlu,acc,0.5433,300,24.5,0,0,real,
01-ai/Yi-6B,turboquant_int3,arc,acc,0.4633,300,79.8,0,0,real,
01-ai/Yi-6B,turboquant_int3,arc,acc_norm,0.4867,300,79.8,0,0,real,
01-ai/Yi-6B,turboquant_int3,lambada,acc,0.7767,300,21.3,0,0,real,
01-ai/Yi-6B,carekv_stored_int3,mmlu,acc,0.5667,300,7670.2,69962214,71734810,real,
01-ai/Yi-6B,carekv_stored_int3,arc,acc,0.4833,300,12942.9,173230058,163260438,real,
01-ai/Yi-6B,carekv_stored_int3,arc,acc_norm,0.4933,300,12942.9,173230058,163260438,real,
01-ai/Yi-6B,carekv_stored_int3,lambada,acc,0.78,300,6562.4,227723499,213739285,real,
