model_id,seq_len,num_samples,head_dim,budget,sk,sv,total_kv_MB,residual_MB,saving_vs_fp16_pct,ppl,ppl_source,is_effective_choice,carekv_status,pareto_status,dominated_by
mistralai/Mistral-7B-v0.3,512,4,128,SK0SV0,0,0,13.0,0.0,79.6875,7.2972,measured_basequant_int3,False,real,frontier,
mistralai/Mistral-7B-v0.3,512,4,128,SK0SV2,0,2,13.9135,0.2825,78.2602,,no_ppl_row,False,real,,
mistralai/Mistral-7B-v0.3,512,4,128,SK0SV4,0,4,14.327,0.565,77.6141,7.2389,measured_calibration_vdom,False,real,frontier,
mistralai/Mistral-7B-v0.3,512,4,128,SK2SV4,2,4,14.740499,0.8475,76.968,7.1249,measured_calibration_kv,True,real,frontier,
mistralai/Mistral-7B-v0.3,512,4,128,SK4SV4,4,4,15.154,1.13,76.3219,,no_ppl_row,False,real,,
mistralai/Mistral-7B-v0.3,256,4,128,SK0SV0,0,0,6.5,0.0,79.6875,7.8006,measured_basequant_int3,False,real,frontier,
mistralai/Mistral-7B-v0.3,256,4,128,SK0SV2,0,2,6.95675,0.14125,78.2602,,no_ppl_row,False,real,,
mistralai/Mistral-7B-v0.3,256,4,128,SK0SV4,0,4,7.1635,0.2825,77.6141,7.6933,measured_calibration_vdom,True,real,frontier,
mistralai/Mistral-7B-v0.3,256,4,128,SK2SV4,2,4,7.37025,0.42375,76.968,7.7128,measured_calibration_kv,False,real,dominated,SK0SV4
mistralai/Mistral-7B-v0.3,256,4,128,SK4SV4,4,4,7.577,0.565,76.3219,,no_ppl_row,False,real,,
01-ai/Yi-6B,128,4,128,SK0SV0,0,0,1.625,0.0,79.6875,9.237,measured_basequant_int3,False,real,frontier,
01-ai/Yi-6B,128,4,128,SK0SV2,0,2,1.739187,0.035313,78.2602,,no_ppl_row,False,real,,
01-ai/Yi-6B,128,4,128,SK0SV4,0,4,1.790875,0.070625,77.6141,9.2703,measured_calibration_vdom,False,real,dominated,SK0SV0
01-ai/Yi-6B,128,4,128,SK2SV4,2,4,1.842563,0.105938,76.968,9.1891,measured_calibration_kv,True,real,frontier,
01-ai/Yi-6B,128,4,128,SK4SV4,4,4,1.89425,0.14125,76.3219,,no_ppl_row,False,real,,
01-ai/Yi-6B,256,4,128,SK0SV0,0,0,3.25,0.0,79.6875,8.7492,measured_basequant_int3,True,real,frontier,
01-ai/Yi-6B,256,4,128,SK0SV2,0,2,3.478375,0.070625,78.2602,,no_ppl_row,False,real,,
01-ai/Yi-6B,256,4,128,SK0SV4,0,4,3.58175,0.14125,77.6141,,measured_calibration_vdom,False,real,,
01-ai/Yi-6B,256,4,128,SK2SV4,2,4,3.685125,0.211875,76.968,,measured_calibration_kv,False,real,,
01-ai/Yi-6B,256,4,128,SK4SV4,4,4,3.7885,0.2825,76.3219,,no_ppl_row,False,real,,
deepseek-ai/deepseek-llm-7b-base,512,4,128,SK0SV0,0,0,48.75,0.0,79.6875,9.6075,measured_basequant_int3,False,real,frontier,
deepseek-ai/deepseek-llm-7b-base,512,4,128,SK0SV2,0,2,52.175625,1.059375,78.2602,,no_ppl_row,False,real,,
deepseek-ai/deepseek-llm-7b-base,512,4,128,SK0SV4,0,4,53.72625,2.11875,77.6141,9.4851,measured_calibration_vdom,True,real,frontier,
deepseek-ai/deepseek-llm-7b-base,512,4,128,SK2SV4,2,4,55.276875,3.178125,76.968,9.5626,measured_calibration_kv,False,real,dominated,SK0SV4
deepseek-ai/deepseek-llm-7b-base,512,4,128,SK4SV4,4,4,56.8275,4.2375,76.3219,,no_ppl_row,False,real,,
openlm-research/open_llama_7b_v2,512,4,128,SK0SV0,0,0,52.0,0.0,79.6875,8.8893,measured_basequant_int3,False,real,frontier,
