model_id,seq_len,num_samples,head_dim,head_dim_group,is_gqa,selected_correction,selector_decision,gate_a_pass,gate_b_pass,carekv_ppl,carekv_status,basequant_int3_ppl,calibration_ppl_vdom,calibration_ppl_kv,fp16_ppl,fixed_store_budget,fixed_residual_MB,fixed_total_kv_MB,fixed_residual_overhead_vs_base_pct,fixed_residual_frac_of_total_pct,fixed_saving_vs_fp16_pct,effective_store_budget,effective_k_slots,effective_v_slots,effective_residual_MB,effective_total_kv_MB,effective_residual_overhead_vs_base_pct,effective_residual_frac_of_total_pct,effective_saving_vs_fp16_pct,effective_vs_fixed_residual_MB_delta,effective_total_kv_MB_reduction_vs_fixed_pct
mistralai/Mistral-7B-v0.3,512,4,128,d97_160,True,KV,select_kv,True,True,7.1249,real,7.2972,7.2389,7.1249,6.7854,SK2SV4,0.8475,14.740499,7.0625,5.7495,76.968,SK2SV4,2,4,0.8475,14.740499,7.0625,5.7495,76.968,0.0,0.0
mistralai/Mistral-7B-v0.3,256,4,128,d97_160,True,Vdom,k_safety_fallback_to_vdom,True,True,7.6933,real,7.8006,7.6933,7.7128,7.3547,SK2SV4,0.42375,7.37025,7.0625,5.7495,76.968,SK0SV4,0,4,0.2825,7.1635,4.7083,3.9436,77.6141,-0.14125,2.8052
01-ai/Yi-6B,128,4,128,d97_160,True,KV,select_kv,True,True,9.1891,real,9.237,9.2703,9.1891,8.6996,SK2SV4,0.105938,1.842563,7.0625,5.7495,76.968,SK2SV4,2,4,0.105938,1.842563,7.0625,5.7495,76.968,0.0,0.0
01-ai/Yi-6B,256,4,128,d97_160,True,BaseQuant_INT3,skip_near_lossless,True,True,8.7492,real,8.7492,,,8.6524,SK2SV4,0.211875,3.685125,7.0625,5.7495,76.968,SK0SV0,0,0,0.0,3.25,0.0,0.0,79.6875,-0.211875,11.8076
deepseek-ai/deepseek-llm-7b-base,512,4,128,d97_160,False,Vdom,k_safety_fallback_to_vdom,True,True,9.4851,real,9.6075,9.4851,9.5626,8.5982,SK2SV4,3.178125,55.276875,7.0625,5.7495,76.968,SK0SV4,0,4,2.11875,53.72625,4.7083,3.9436,77.6141,-1.059376,2.8052
openlm-research/open_llama_7b_v2,512,4,128,d97_160,False,Vdom,k_safety_fallback_to_vdom,True,True,8.8423,real,8.8893,8.8423,8.8509,8.3935,SK2SV4,3.39,58.962,7.0625,5.7495,76.968,SK0SV4,0,4,2.26,57.308001,4.7083,3.9436,77.6141,-1.13,2.8052
deepseek-ai/deepseek-llm-7b-base,128,4,128,d97_160,False,KV,select_kv,True,True,12.0204,real,12.3259,12.156,12.0204,11.052,SK2SV4,0.794531,13.819219,7.0625,5.7495,76.968,SK2SV4,2,4,0.794531,13.819219,7.0625,5.7495,76.968,0.0,0.0
deepseek-ai/deepseek-llm-7b-base,256,4,128,d97_160,False,BaseQuant_INT3,no_valid_carekv_candidate,True,False,11.3562,blocked,11.3562,,,10.1599,SK2SV4,1.589063,27.638437,7.0625,5.7495,76.968,SK0SV0,0,0,0.0,24.375,0.0,0.0,79.6875,-1.589063,11.8076
01-ai/Yi-6B,512,4,128,d97_160,True,KV,select_kv,True,True,8.4319,real,8.4828,8.511,8.4319,7.9602,SK2SV4,0.42375,7.37025,7.0625,5.7495,76.968,SK2SV4,2,4,0.42375,7.37025,7.0625,5.7495,76.968,0.0,0.0
Qwen/Qwen2-7B,128,4,128,d97_160,True,BaseQuant_INT3,no_valid_carekv_candidate,False,True,5323.9326,blocked_architecture_port,5323.9326,,,10.4074,SK2SV4,0.092695,1.612242,7.0625,5.7495,76.968,SK0SV0,0,0,0.0,1.421875,0.0,0.0,79.6875,-0.092695,11.8076
