model_id,seq_len,num_samples,variant,kscore_live,kind,effective_budget,lambda_k,lambda_v,ppl,delta_vs_base,k_reads,v_reads,selected_correction,kscore_changed_decision,status,failure_reason,runtime_s,notes
mistralai/Mistral-7B-v0.3,128,4,fp16,-,-,-,,,8.6728,,,,,,real,,,reference
mistralai/Mistral-7B-v0.3,128,4,BaseQuant_INT3,-,-,SK0SV0,,,9.0214,,,,,,real,,,INT3 base
mistralai/Mistral-7B-v0.3,128,4,vscore_only,0,v,SK0SV4,,,8.8176,-0.2038,0,1048576,vscore_only,no,real,,74.5,SMOKE ablation (not the full grid)
mistralai/Mistral-7B-v0.3,128,4,kscore_only,1,k,SK2SV0,1.0,1.0,9.0214,0.0,1048576,0,kscore_only,no,real,,71.2,SMOKE ablation (not the full grid)
mistralai/Mistral-7B-v0.3,128,4,combined_kvscore,1,both,SK2SV4,1.0,1.0,8.8485,-0.1728,1051605,1045547,combined_kvscore,no,real,,99.5,SMOKE ablation (not the full grid)
mistralai/Mistral-7B-v0.3,256,4,fp16,-,-,-,,,7.356,,,,,,real,,,reference
mistralai/Mistral-7B-v0.3,256,4,BaseQuant_INT3,-,-,SK0SV0,,,7.7264,,,,,,real,,,INT3 base
mistralai/Mistral-7B-v0.3,256,4,vscore_only,0,v,SK0SV4,,,7.6007,-0.1257,0,2097152,vscore_only,no,real,,166.2,SMOKE ablation (not the full grid)
mistralai/Mistral-7B-v0.3,256,4,kscore_only,1,k,SK2SV0,1.0,1.0,7.7264,0.0,2097152,0,kscore_only,no,real,,170.8,SMOKE ablation (not the full grid)
mistralai/Mistral-7B-v0.3,256,4,combined_kvscore,1,both,SK2SV4,1.0,1.0,7.6785,-0.0479,1992427,2201877,combined_kvscore,no,real,,231.0,SMOKE ablation (not the full grid)
