model,context,flop_fp16_M,flop_base_M,flop_carekv_M,flop_overhead_vs_base_pct,flop_overhead_vs_fp16_pct,bw_fp16_KB,bw_base_KB,bw_carekv_KB,bw_overhead_vs_base_pct,bw_carekv_vs_fp16_ratio,kv_fp16_MB,kv_carekv_MB,kv_carekv_vs_fp16_ratio
Mistral-7B-v0.3,512,270.008,337.117,345.899,2.605,28.107,65536.0,13312.0,14658.0,10.111,0.2237,67.11,26.31,0.3921
Mistral-7B-v0.3,1024,540.017,674.234,687.604,1.983,27.33,131072.0,26624.0,29058.0,9.142,0.2217,134.22,52.63,0.3921
Mistral-7B-v0.3,2048,1080.033,1348.469,1371.013,1.672,26.942,262144.0,53248.0,57858.0,8.658,0.2207,268.44,105.25,0.3921
Mistral-7B-v0.3,4096,2160.067,2696.937,2737.832,1.516,26.748,524288.0,106496.0,115458.0,8.415,0.2202,536.87,210.5,0.3921
Mistral-7B-v0.3,8192,4320.133,5393.875,5471.47,1.439,26.65,1048576.0,212992.0,230658.0,8.294,0.22,1073.74,421.0,0.3921
DeepSeek-7B-base,512,253.133,504.791,513.024,1.631,102.67,245760.0,49920.0,54967.5,10.111,0.2237,251.66,98.67,0.3921
DeepSeek-7B-base,1024,506.266,1009.582,1022.116,1.241,101.893,491520.0,99840.0,108967.5,9.142,0.2217,503.32,197.35,0.3921
DeepSeek-7B-base,2048,1012.531,2019.164,2040.3,1.047,101.505,983040.0,199680.0,216967.5,8.658,0.2207,1006.63,394.69,0.3921
DeepSeek-7B-base,4096,2025.062,4038.328,4076.667,0.949,101.311,1966080.0,399360.0,432967.5,8.415,0.2202,2013.27,789.38,0.3921
DeepSeek-7B-base,8192,4050.125,8076.657,8149.402,0.901,101.214,3932160.0,798720.0,864967.5,8.294,0.22,4026.53,1578.76,0.3921
